San Francisco,Seattle,09/07/25,T.Williams,OL,Shawn Hochuli,1,4,7:32,2,3,10,No,No,No,Offense
Green Bay,Detroit,09/07/25,B.Melton,DB,Clete Blakeman,1,1,15:00,0,0,10,No,No,Yes,Special Teams
Detroit,Green Bay,09/07/25,I.TeSlaa,WR,Clete Blakeman,1,1,3:58,0,0,10,No,No,No,Special Teams
Green Bay,Detroit,09/07/25,J.Bullard,DB,Clete Blakeman,1,3,4:24,4,12,10,No,No,Yes,Special Teams
Houston,LA Rams,09/07/25,C.Robinson,OL,Craig Wrolstad,1,1,15:00,1,10,10,No,No,No,Offense
LA Rams,Houston,09/07/25,T.Reeder,LB,Craig Wrolstad,1,1,1:15,0,0,10,No,No,Yes,Special Teams
LA Rams,Houston,09/07/25,T.Higbee,TE,Craig Wrolstad,1,2,13:58,3,2,10,No,No,Yes,Offense
LA Rams,Houston,09/07/25,K.Williams,RB,Craig Wrolstad,1,3,7:47,2,4,0,Yes,No,Yes,Offense
LA Rams,Houston,09/07/25,D.Allen,TE,Craig Wrolstad,1,4,1:43,1,10,10,No,No,Yes,Offense
Buffalo,Baltimore,09/07/25,S.Brown,OL,John Hussey,1,3,5:32,2,10,8,No,No,Yes,Offense
Buffalo,Baltimore,09/07/25,D.Williams,LB,John Hussey,1,3,1:09,0,0,10,No,No,Yes,Special Teams
Buffalo,Baltimore,09/07/25,D.Dawkins,OL,John Hussey,1,4,10:21,3,1,10,No,No,Yes,Offense
Chicago,Minnesota,09/08/25,K.Monangai,RB,Alan Eck,1,2,6:47,2,10,0,Yes,No,Yes,Offense
Minnesota,Chicago,09/08/25,J.Skule,OL,Alan Eck,1,2,5:52,1,10,10,No,No,No,Offense
Chicago,Minnesota,09/08/25,C.Jones,LB,Alan Eck,1,3,10:18,4,20,10,No,No,Yes,Special Teams
Chicago,Minnesota,09/08/25,D.Wright,OL,Alan Eck,1,3,0:49,1,10,10,No,No,Yes,Offense
Green Bay,Washington,09/11/25,A.Belton,OL,Brad Rogers,2,1,11:17,3,9,10,No,No,Yes,Offense
Green Bay,Washington,09/11/25,J.FitzPatrick,TE,Brad Rogers,2,2,3:41,2,2,10,No,No,Yes,Offense
Washington,Green Bay,09/11/25,J.Conerly,OL,Brad Rogers,2,3,12:14,3,3,0,Yes,No,No,Offense
Green Bay,Washington,09/11/25,S.Rhyan,OL,Brad Rogers,2,3,9:47,1,10,10,No,No,Yes,Offense
Green Bay,Washington,09/11/25,K.Hadden,DB,Brad Rogers,2,3,5:12,4,3,9,No,No,Yes,Special Teams
Baltimore,Cleveland,09/14/25,C.Kolar,TE,Brad Allen,2,2,7:16,3,8,0,Yes,No,Yes,Offense
Cleveland,Baltimore,09/14/25,K.Leveston,OL,Brad Allen,2,4,12:13,1,10,10,No,No,No,Offense
Cincinnati,Jacksonville,09/14/25,D.Sample,TE,Alan Eck,2,2,9:10,1,10,10,No,No,Yes,Offense
N.Y. Giants,Dallas,09/14/25,S.Bozeman,LB,Bill Vinovich,2,1,15:00,0,0,10,No,No,No,Special Teams
N.Y. Giants,Dallas,09/14/25,D.Slayton,WR,Bill Vinovich,2,1,12:24,2,1,10,No,No,No,Offense
Dallas,N.Y. Giants,09/14/25,R.Flournoy,WR,Bill Vinovich,2,2,1:46,4,5,10,No,No,Yes,Special Teams
Dallas,N.Y. Giants,09/14/25,T.Guyton,OL,Bill Vinovich,2,2,1:01,1,10,10,No,No,Yes,Offense
Dallas,N.Y. Giants,09/14/25,M.Bell,DB,Bill Vinovich,2,3,5:38,0,0,10,No,No,Yes,Special Teams
Dallas,N.Y. Giants,09/14/25,H.Luepke,RB,Bill Vinovich,2,5,10:00,0,0,10,No,No,Yes,Special Teams
Chicago,Detroit,09/14/25,J.Jackson,OL,Land Clark,2,1,6:20,2,9,0,Yes,No,No,Offense
Chicago,Detroit,09/14/25,D.Dalman,OL,Land Clark,2,2,10:49,1,10,10,No,No,No,Offense
Chicago,Detroit,09/14/25,R.Hyppolite,LB,Land Clark,2,2,0:02,0,0,0,No,No,No,Special Teams
Miami,New England,09/14/25,K.Smith,OL,Alex Moore,2,1,8:16,3,5,0,No,Yes,Yes,Offense
Miami,New England,09/14/25,K.Britt,LB,Alex Moore,2,1,0:49,0,0,10,No,No,Yes,Special Teams
New England,Miami,09/14/25,T.Henderson,RB,Alex Moore,2,2,8:25,2,15,10,No,No,No,Offense
Miami,New England,09/14/25,J.Savaiinaea,OL,Alex Moore,2,3,14:15,2,3,10,No,No,Yes,Offense
Miami,New England,09/14/25,A.Brewer,OL,Alex Moore,2,3,14:10,2,13,0,Yes,No,Yes,Offense
New England,Miami,09/14/25,T.Henderson,RB,Alex Moore,2,3,9:54,3,7,0,Yes,No,No,Offense
New England,Miami,09/14/25,J.Hawkins,DB,Alex Moore,2,3,9:41,4,18,5,No,No,No,Special Teams
Miami,New England,09/14/25,A.Brewer,OL,Alex Moore,2,3,6:13,1,10,10,No,No,Yes,Offense
New England,Miami,09/14/25,T.Henderson,RB,Alex Moore,2,3,3:37,0,0,10,No,No,No,Special Teams
New England,Miami,09/14/25,J.Wilson,OL,Alex Moore,2,3,3:01,2,2,10,No,No,No,Offense
